,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
87,87.0,0.2683,0.2262,0.1694,0.1823,0.0303,0.0228,0.4157,0.3795,0.0228,0.0,0.0,0.0,0.4891,0.3029,0.0077,0.0077,0.0,0.0,0.4843,0.2915,0.0153,0.0153,0.0077,0.0
88,88.0,0.276,0.2522,0.1575,0.1441,0.0455,0.023,0.4183,0.3819,0.0154,0.0,0.0,0.0,0.5108,0.276,0.0077,0.0077,0.0,0.0,0.4825,0.2642,0.0455,0.023,0.0077,0.0
89,89.0,0.2835,0.2315,0.1907,0.1112,0.0492,0.0331,0.4573,0.3329,0.0249,0.0,0.0,0.0,0.5041,0.2835,0.0084,0.0084,0.0,0.0,0.4887,0.2835,0.0249,0.0167,0.0,0.0
90,90.0,0.2389,0.2636,0.1744,0.1609,0.0313,0.0313,0.4055,0.4055,0.0,0.0,0.0,0.0,0.4867,0.3054,0.0079,0.0079,0.0,0.0,0.4818,0.2995,0.0157,0.0157,0.0,0.0
91,91.0,0.2731,0.2281,0.2014,0.1315,0.0484,0.0164,0.4353,0.3459,0.0325,0.0082,0.0,0.0,0.4669,0.3102,0.0245,0.0164,0.0,0.0,0.5025,0.2731,0.0164,0.0164,0.0,0.0
92,92.0,0.2478,0.2417,0.1784,0.1652,0.0383,0.0308,0.4158,0.395,0.0,0.0,0.0,0.0,0.4758,0.3128,0.0078,0.0078,0.0078,0.0,0.5093,0.2779,0.0155,0.0,0.0,0.0
93,93.0,0.2384,0.2262,0.1823,0.1694,0.0524,0.0377,0.4106,0.39,0.0077,0.0077,0.0,0.0,0.47,0.3086,0.0228,0.0153,0.0,0.0,0.4938,0.2915,0.0153,0.0077,0.0,0.0
94,94.0,0.2395,0.2336,0.1722,0.1401,0.0725,0.0513,0.4229,0.3878,0.0,0.0,0.0,0.0,0.4803,0.3026,0.0223,0.0075,0.0,0.0,0.4849,0.297,0.0149,0.0149,0.0,0.0
95,95.0,0.2422,0.2246,0.1823,0.151,0.0645,0.0435,0.4274,0.3779,0.0074,0.0,0.0,0.0,0.47,0.3097,0.0292,0.0074,0.0,0.0,0.4792,0.3042,0.0147,0.0147,0.0,0.0
96,96.0,0.2654,0.2406,0.1621,0.1484,0.0469,0.0392,0.4395,0.3702,0.0,0.0,0.0,0.0,0.4849,0.2776,0.0315,0.0159,0.008,0.0,0.4898,0.2957,0.0237,0.0,0.0,0.0
97,97.0,0.2774,0.2394,0.1588,0.1305,0.0558,0.0402,0.4377,0.3665,0.0082,0.0,0.0,0.0,0.469,0.2958,0.0402,0.0082,0.0082,0.0,0.5092,0.2712,0.0163,0.0082,0.0,0.0
98,98.0,0.2938,0.2504,0.1645,0.1151,0.0476,0.0241,0.4243,0.3752,0.0161,0.0,0.0,0.0,0.4659,0.2754,0.063,0.0161,0.0081,0.0,0.5059,0.2567,0.0241,0.0241,0.0,0.0
99,99.0,0.2877,0.2298,0.1542,0.1542,0.0488,0.0247,0.4274,0.3773,0.0083,0.0,0.0,0.0,0.4855,0.2624,0.0408,0.0165,0.0165,0.0,0.4957,0.2877,0.0165,0.0083,0.0,0.0
100,100.0,0.3128,0.2294,0.1384,0.1316,0.0532,0.0308,0.4107,0.3791,0.0232,0.0078,0.0,0.0,0.4562,0.266,0.0824,0.0155,0.0155,0.0,0.5093,0.26,0.0308,0.0078,0.0,0.0
101,101.0,0.2973,0.2683,0.1497,0.1161,0.0303,0.0303,0.4157,0.3847,0.0153,0.0,0.0,0.0,0.4457,0.2741,0.0883,0.0153,0.0153,0.0,0.5215,0.2564,0.0153,0.0077,0.0,0.0
102,102.0,0.2857,0.2372,0.1394,0.1325,0.0462,0.0611,0.4185,0.3762,0.0156,0.0078,0.0,0.0,0.4491,0.3033,0.0462,0.0156,0.0156,0.0,0.5171,0.2618,0.0233,0.0,0.0,0.0
103,103.0,0.2763,0.2589,0.1606,0.1345,0.0372,0.0299,0.4205,0.3799,0.015,0.0,0.0,0.0,0.4595,0.2763,0.073,0.0075,0.0075,0.0075,0.4925,0.282,0.0299,0.0075,0.0,0.0
104,104.0,0.3133,0.2469,0.1484,0.1345,0.0315,0.0159,0.4395,0.3591,0.0159,0.0,0.0,0.0,0.465,0.2654,0.077,0.008,0.008,0.008,0.5188,0.2776,0.0,0.0,0.0,0.0
105,105.0,0.317,0.2636,0.1677,0.1054,0.0235,0.0079,0.4107,0.3841,0.0235,0.0,0.0,0.0,0.4316,0.2757,0.0982,0.0157,0.0157,0.0079,0.525,0.2451,0.0157,0.0157,0.0,0.0
106,106.0,0.2995,0.2451,0.1744,0.1266,0.0235,0.0235,0.4212,0.3622,0.0313,0.0079,0.0,0.0,0.462,0.2757,0.0465,0.0157,0.0157,0.0157,0.5156,0.2636,0.0235,0.0,0.0,0.0
107,107.0,0.3365,0.2564,0.1297,0.0953,0.0228,0.0451,0.4358,0.3582,0.0228,0.0,0.0,0.0,0.4652,0.2445,0.1092,0.0077,0.0077,0.0,0.5261,0.2505,0.0228,0.0,0.0,0.0
108,108.0,0.3365,0.2814,0.147,0.1029,0.0083,0.0,0.4436,0.3542,0.0165,0.0,0.0,0.0,0.4957,0.2559,0.0408,0.0083,0.0083,0.0083,0.5355,0.2559,0.0,0.0,0.0,0.0
109,109.0,0.3493,0.2897,0.1086,0.0863,0.0,0.0402,0.4163,0.355,0.0558,0.0,0.0,0.0,0.4377,0.2522,0.1376,0.0163,0.0,0.0,0.5431,0.2264,0.0163,0.0082,0.0,0.0
110,110.0,0.3096,0.2766,0.1853,0.1009,0.0088,0.0,0.4317,0.3602,0.0262,0.0,0.0,0.0,0.4544,0.2965,0.0517,0.0088,0.0088,0.0088,0.5456,0.2424,0.0,0.0,0.0,0.0
111,111.0,0.3292,0.2982,0.1272,0.0891,0.0168,0.0168,0.4223,0.371,0.0251,0.0,0.0,0.0,0.4497,0.2333,0.1566,0.0,0.0,0.0,0.5226,0.2663,0.0084,0.0,0.0,0.0
112,112.0,0.3353,0.2598,0.1781,0.0968,0.0084,0.0,0.4167,0.371,0.0333,0.0,0.0,0.0,0.4388,0.2856,0.1121,0.0,0.0,0.0,0.5474,0.2265,0.0084,0.0084,0.0,0.0
113,113.0,0.3422,0.2531,0.1484,0.0917,0.0159,0.0315,0.4187,0.3646,0.0392,0.0,0.0,0.0,0.4395,0.2716,0.1062,0.008,0.0,0.0159,0.533,0.2531,0.008,0.0,0.0,0.0
114,114.0,0.3399,0.2877,0.1609,0.0764,0.0079,0.0,0.4107,0.3567,0.0616,0.0,0.0,0.0,0.416,0.2697,0.1473,0.0079,0.0,0.0079,0.5436,0.2451,0.0,0.0,0.0,0.0
115,115.0,0.3542,0.2751,0.147,0.0877,0.0,0.0083,0.422,0.3424,0.0645,0.0,0.0,0.0,0.411,0.2751,0.1398,0.0247,0.0,0.0,0.5548,0.2231,0.0083,0.0,0.0,0.0
116,116.0,0.3389,0.2771,0.1481,0.0884,0.0,0.0249,0.4194,0.3684,0.0331,0.0,0.0,0.0,0.4138,0.2707,0.1625,0.0,0.0,0.0,0.5536,0.2315,0.0,0.0,0.0,0.0
